,tweetId,isRetweet,time,text,replies,retweets,likes,entries,query_keywords,hashtags,urls,photos,videos,prediction
0,1247853862171619328,False,2020-04-08 19:48:39,How many at CNN are taking hydroxychloroquine as a prophylactic or Cuomo and Baldwin as a treatment for #COVID19,0,0,0,"{'hashtags': ['#COVID19'], 'urls': [], 'photos': [], 'videos': []}",#Covid19,['#COVID19'],[],[],[],Spam
1,1247853861454393344,False,2020-04-08 19:48:39,"Seuuuut ls cas communautaires 
#COVID19
#RestezChezVous
#Daouda_712 https://twitter.com/abdioufsarr/status/1247828995770667010 …",0,0,0,"{'hashtags': ['#COVID19', '#RestezChezVous', '#Daouda_712', '#msas', '#COVID19sn', '#Senegal'], 'urls': [], 'photos': [], 'videos': []}",#Covid19,"['#COVID19', '#RestezChezVous', '#Daouda_712', '#msas', '#COVID19sn', '#Senegal']",[],[],[],Quality
2,1247853861387239424,False,2020-04-08 19:48:39,"Bjr @enzo_daoud , pendant cette crise du #COVID19, #tonmaillotpourbattrelecancer devient #TonMaillotPourLesBlouses.
Et je me dis que ce serait top que vous souteniez #TonMaillotPourLesBlouses ",0,0,0,"{'hashtags': ['#COVID19', '#tonmaillotpourbattrelecancer', '#TonMaillotPourLesBlouses', '#TonMaillotPourLesBlouses'], 'urls': [], 'photos': [], 'videos': []}",#Covid19,"['#COVID19', '#tonmaillotpourbattrelecancer', '#TonMaillotPourLesBlouses', '#TonMaillotPourLesBlouses']",[],[],[],Quality
3,1247853860879646722,False,2020-04-08 19:48:39,"¡Buen Miércoles!

¡Te presentamos la portada de hoy!

Son ya 4 muertes por covid-19 en Morelos.

#Portada #Regional #miercoles #covid19 pic.twitter.com/M63X2ROUWZ",0,0,0,"{'hashtags': ['#Portada', '#Regional', '#miercoles', '#covid19'], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EVFEcbQU4AAfeDB.jpg'], 'videos': []}",#Covid19,"['#Portada', '#Regional', '#miercoles', '#covid19']",[],['https://pbs.twimg.com/media/EVFEcbQU4AAfeDB.jpg'],[],Quality
4,1247853860753944577,False,2020-04-08 19:48:39,"Interdire, dans ce cas précis = préserver la disponibilité des sapeurs-pompiers pour des missions beaucoup plus urgentes qu'une intervention nécessitant de nombreux moyens suite à un brûlage non maitrisé.
Vous pourrez relancer le débat + tard. #Covid19 = d'autres priorités. Merci",0,0,0,"{'hashtags': ['#Covid19'], 'urls': [], 'photos': [], 'videos': []}",#Covid19,['#Covid19'],[],[],[],Quality
5,1247853860649123840,False,2020-04-08 19:48:39,"#Covid19 : Le Groupe Crédit Agricole dédie 20M€ pour financer des mesures de première nécessité en faveur des personnes âgées, pour les protéger et leur permettre de garder le lien avec leurs proches http://ow.ly/ldxD102dHZS  https://lnkd.in/dy2r_vZ http://ow.ly/ldxD102dHZS ",0,0,0,"{'hashtags': ['#Covid19'], 'urls': ['http://ow.ly/ldxD102dHZS', 'https://lnkd.in/dy2r_vZ'], 'photos': [], 'videos': []}",#Covid19,['#Covid19'],"['http://ow.ly/ldxD102dHZS', 'https://lnkd.in/dy2r_vZ']",[],[],Quality
6,1247853860451954688,False,2020-04-08 19:48:38,"The Project Enable Africa COVID-19 Response is a fooddrive project targeted at providing food stuffs to 1000 individuals/families of persons with disabilities in Lagos during the Coronavirus pandemic compulsory Lockdown.

#PEACovid19Response #FoodDrive #COVID19 pic.twitter.com/urPzI01KtN",0,0,0,"{'hashtags': ['#PEACovid19Response', '#FoodDrive', '#COVID19'], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EVFEd0jWoAAXACl.jpg'], 'videos': []}",#Covid19,"['#PEACovid19Response', '#FoodDrive', '#COVID19']",[],['https://pbs.twimg.com/media/EVFEd0jWoAAXACl.jpg'],[],Quality
7,1247853860359680001,False,2020-04-08 19:48:38," CAN WE GET MY FOLLOWING UP TO 1K+ TODAY FOR #WETWEDNESDAY 
 RT
 LIKE 
 FOLLOW 
 SUBSCRIBE 

http://onlyfans.com/georgie_girl48 
http://onlyfans.com/georgie_girl48 
http://onlyfans.com/georgie_girl48 
 Ladies drop your links below I’ll RT all 
#onlyfans #findom #paypigsuk #COVID19 #onlyfansbabe pic.twitter.com/e6hRztQdrV",0,0,0,"{'hashtags': ['#WETWEDNESDAY', '#onlyfans', '#findom', '#paypigsuk', '#COVID19', '#onlyfansbabe'], 'urls': ['http://onlyfans.com/georgie_girl48', 'http://onlyfans.com/georgie_girl48', 'http://onlyfans.com/georgie_girl48'], 'photos': ['https://pbs.twimg.com/media/EVFEeI_XgAA0FtA.jpg', 'https://pbs.twimg.com/media/EVFEeJFWkAA18xv.jpg'], 'videos': []}",#Covid19,"['#WETWEDNESDAY', '#onlyfans', '#findom', '#paypigsuk', '#COVID19', '#onlyfansbabe']","['http://onlyfans.com/georgie_girl48', 'http://onlyfans.com/georgie_girl48', 'http://onlyfans.com/georgie_girl48']","['https://pbs.twimg.com/media/EVFEeI_XgAA0FtA.jpg', 'https://pbs.twimg.com/media/EVFEeJFWkAA18xv.jpg']",[],Quality
8,1247853860317782017,False,2020-04-08 19:48:38,"Hace poco, @instagram añadió una opción de reportar stories y posts por información falsa.  Le das a los tres puntitos > reportar > es inapropiada > información falsa. Si quieres ayudar desde casa en la crisis del #COVID19, dedícate a reportar publicaciones como esta. https://twitter.com/100cia_/status/1247790614860591105 …",0,0,0,"{'hashtags': ['#COVID19'], 'urls': [], 'photos': [], 'videos': []}",#Covid19,['#COVID19'],[],[],[],Quality
9,1247853860120678400,False,2020-04-08 19:48:38,"Post #Covid19 we need to put in place policies and investment strategies that support the most vulnerable communities in each and every country, whether developed or developing, we mustn't revert back to looking out only for ourselves. #ClimateEmergency https://www.thedailystar.net/opinion/politics-climate-change/news/the-old-normal-ending-1890616 …",0,0,0,"{'hashtags': ['#Covid19', '#ClimateEmergency'], 'urls': [], 'photos': [], 'videos': []}",#Covid19,"['#Covid19', '#ClimateEmergency']",[],[],[],Quality
